Num,FIFO_Queue_Num,FIFO_Num,Time[us],Pressure_Raw,Temp_Raw,X+[s],Pressure[hPa],Temp[C],Alt_Sea[m],Alt[m],ohsima_sea_press,max_alt[m]
96,3,0,779176137,3998738,1982,-1.674069,976.2543945,19.82,418.8519582,0,1024.9,896.5200373
97,3,1,779190175,3998717,1982,-1.660031,976.2492676,19.82,418.8974033,0.045445065,,
98,3,2,779204215,3998747,1982,-1.645991,976.2565918,19.82,418.8324819,-0.01947637,,
99,3,3,779218253,3998715,1982,-1.631953,976.2487793,19.82,418.9017314,0.049773182,,
100,3,4,779232292,3998638,1982,-1.617914,976.2299805,19.82,419.0683659,0.216407618,,
101,3,5,779246332,3998703,1982,-1.603874,976.2458496,19.82,418.9277002,0.075741934,,
102,3,6,779260370,3998735,1982,-1.589836,976.2536621,19.82,418.8584504,0.006492135,,
103,3,7,779274409,3998567,1983,-1.575797,976.2126465,19.83,419.2363286,0.384370321,,
104,3,8,779288449,3998589,1982,-1.561757,976.2180176,19.82,419.1744079,0.322449702,,
105,3,9,779302487,3998813,1982,-1.547719,976.2727051,19.82,418.6896567,-0.162301486,,
106,3,10,779316527,3998617,1982,-1.533679,976.2248535,19.82,419.1138123,0.261854036,,
107,3,11,779330580,3998691,1982,-1.519626,976.2429199,19.82,418.953669,0.101710778,,
108,3,12,779344632,3998572,1982,-1.505574,976.2138672,19.82,419.2111984,0.359240174,,
109,3,13,779358684,3998805,1983,-1.491522,976.270752,19.83,418.7212605,-0.130697697,,
110,3,14,779372738,3998630,1982,-1.477468,976.2280273,19.82,419.0856787,0.233720506,,
111,3,15,779386791,3998672,1982,-1.463415,976.2382813,19.82,418.9947865,0.142828305,,
112,3,16,779400843,3998699,1982,-1.449363,976.244873,19.82,418.9363564,0.084398205,,
113,3,17,779414897,3998682,1982,-1.435309,976.2407227,19.82,418.9731457,0.121187472,,
114,3,18,779428950,3998607,1982,-1.421256,976.2224121,19.82,419.1354535,0.283495287,,
115,3,19,779443002,3998636,1982,-1.407204,976.2294922,19.82,419.0726941,0.220735836,,
116,3,20,779457055,3998622,1982,-1.393151,976.2260742,19.82,419.1029917,0.251033435,,
117,3,21,779471108,3998617,1982,-1.379098,976.2248535,19.82,419.1138123,0.261854036,,
118,3,22,779485160,3998668,1983,-1.365046,976.2373047,19.83,419.0177448,0.165786579,,
119,3,23,779499213,3998727,1983,-1.350993,976.251709,19.83,418.8900603,0.038102088,,
120,3,24,779513266,3998704,1982,-1.33694,976.2460938,19.82,418.9255361,0.073577867,,
121,3,25,779527319,3998780,1982,-1.322887,976.2646484,19.82,418.761069,-0.090889279,,
122,3,26,779541372,3998618,1982,-1.308834,976.2250977,19.82,419.1116481,0.259689914,,
123,3,27,779555425,3998759,1982,-1.294781,976.2595215,19.82,418.8065135,-0.045444781,,
124,3,28,779569478,3998779,1982,-1.280728,976.2644043,19.82,418.763233,-0.088725261,,
125,3,29,779583531,3998771,1982,-1.266675,976.2624512,19.82,418.7805451,-0.0714131,,
126,3,30,779597583,3998625,1982,-1.252623,976.2268066,19.82,419.0964993,0.244541081,,
64,2,0,779603045,3998644,1982,-1.247161,976.2314453,19.82,419.0553812,0.203422979,,
127,3,31,779611636,3998671,1982,-1.23857,976.2380371,19.82,418.9969506,0.144992392,,
65,2,1,779617084,3998631,1982,-1.233122,976.2282715,19.82,419.0835146,0.231556392,,
66,2,2,779631123,3998561,1982,-1.219083,976.2111816,19.82,419.2350041,0.383045873,,
67,2,3,779645163,3998512,1982,-1.205043,976.1992188,19.82,419.3410486,0.489090388,,
68,2,4,779659201,3998613,1982,-1.191005,976.223877,19.82,419.1224688,0.270510529,,
69,2,5,779673240,3998549,1982,-1.176966,976.208252,19.82,419.260974,0.409015816,,
70,2,6,779687279,3998700,1982,-1.162927,976.2451172,19.82,418.9341924,0.082234136,,
71,2,7,779701318,3998585,1982,-1.148888,976.217041,19.82,419.1830645,0.331106267,,
72,2,8,779715357,3998573,1982,-1.134849,976.2141113,19.82,419.2090343,0.357076024,,
73,2,9,779729396,3998619,1982,-1.12081,976.2253418,19.82,419.109484,0.257525794,,
74,2,10,779743435,3998672,1982,-1.106771,976.2382813,19.82,418.9947865,0.142828305,,
75,2,11,779757489,3998720,1982,-1.092717,976.25,19.82,418.8909111,0.038952896,,
76,2,12,779771541,3998819,1982,-1.078665,976.2741699,19.82,418.6766728,-0.175285449,,
77,2,13,779785594,3998735,1982,-1.064612,976.2536621,19.82,418.8584504,0.006492135,,
