,Encoder,Gyro,Target,duty
1,-2.460938,0,2.460938,6
2,-0.703125,-0.054614,3.109448,7
3,1.054688,0.082104,2.136865,5
4,-0.703125,0.497144,3.337134,8
5,-0.703125,0.548413,4.588672,11
6,0.351562,0.3177,4.55481,11
7,-1.40625,-0.080249,5.880811,14
8,0,-1.289966,4.590845,11
9,1.054688,-0.279224,3.256934,8
10,3.515625,-0.746753,-1.005444,2
11,2.460938,-0.729663,-4.196044,10
12,-0.703125,-0.000903,-3.493823,8
13,2.460938,1.170972,-4.783789,11
14,-0.703125,1.052563,-3.0281,7
15,-0.703125,0.50813,-1.816845,4
16,-2.109375,-0.086353,0.206177,0
17,-0.351562,-0.435474,0.122266,0
18,-1.054688,-0.3073,0.869654,2
19,0,0.047925,0.917578,2
20,-0.703125,0.340894,1.961597,4
21,0.703125,0.49104,1.749512,4
22,1.054688,0.340894,1.035718,2
23,0.351562,-0.356128,0.328028,0
24,-1.054688,-0.08269,1.300025,3
25,0.703125,0.023511,0.62041,1
26,1.054688,-0.196216,-0.630493,1
27,-1.054688,0.107739,0.531934,1
28,3.515625,0.106519,-2.877173,6
29,1.40625,0.318921,-3.964502,9
30,-0.703125,0.243237,-3.01814,7
31,0.703125,-0.212085,-3.93335,9
32,0,0.129712,-3.803638,9
33,-2.460938,0.055249,-1.287451,3
34,-0.351562,0.119946,-0.815943,2
35,-0.351562,0.05647,-0.40791,1
36,1.054688,0.209058,-1.25354,3
37,0,-0.729663,-1.983203,4
38,0.351562,-0.353687,-2.688452,6
39,-2.460938,-0.42937,-0.656885,1
40,0.703125,-0.356128,-1.716138,4
41,-1.757812,-1.114185,-1.07251,2
42,-3.515625,-1.139819,1.303296,3
43,0,-0.846851,0.456445,1
44,-0.703125,-1.169116,-0.009546,0
45,0.703125,-1.9052,-2.617872,6
46,-0.351562,-2.027271,-4.29358,10
47,-2.8125,-1.891773,-3.372852,8
48,-2.8125,-2.110278,-2.67063,6
49,-0.703125,-2.327564,-4.295069,10
50,0.703125,-2.791431,-7.789624,19
51,-0.351562,-3.367603,-10.805664,26
52,0.703125,-3.924243,-15.433032,38
53,1.054688,-3.860767,-20.348486,50
54,-1.40625,-4.589526,-23.531761,58
55,0,-4.854419,-28.386181,70
56,-2.460938,-5.321948,-31.247192,77
57,-2.8125,-5.522143,-33.956837,84
58,-0.703125,-5.815112,-39.068825,97
59,-4.921875,-6.446216,-40.593166,101
60,-3.164062,-6.685473,-44.114578,110
61,-5.976562,-6.475513,-44.613529,111
62,-4.570312,-6.659839,-46.703056,116
63,-3.867188,-6.579272,-49.415142,123
64,-5.273438,-6.31438,-50.456085,126
65,-5.976562,-6.612231,-51.091755,127
66,-8.085938,-6.360766,-49.366585,123
67,-7.734375,-6.236255,-47.868465,119
68,-4.921875,-6.341235,-49.287827,123
69,-7.734375,-6.365649,-47.919102,119
70,-9.140625,-5.354907,-44.133385,110
71,-8.085938,-5.675952,-41.7234,104
72,-7.734375,-5.548999,-39.538025,98
73,-8.4375,-5.513598,-36.614124,91
74,-8.4375,-5.711352,-33.887978,84
75,-9.84375,-5.782153,-29.826382,74
76,-10.195312,-5.417163,-25.048233,62
77,-9.492188,-5.72478,-21.280827,53
78,-8.4375,-5.415942,-18.25927,45
79,-11.953125,-5.458667,-11.764812,29
80,-7.734375,-5.658862,-9.689301,24
81,-8.4375,-5.111987,-6.363788,16
82,-4.570312,-5.734546,-7.528021,18
83,-4.21875,-5.819995,-9.129266,22
84,-4.570312,-5.976245,-10.535198,26
85,-2.460938,-5.487964,-13.562225,33
86,-1.40625,-5.970141,-18.126118,45
87,-3.515625,-5.86272,-20.473213,51
88,0.351562,-5.829761,-26.654537,66
89,-3.867188,-5.978686,-28.766037,71
90,-3.515625,-5.639331,-30.889744,77
91,-1.054688,-5.276782,-35.111839,87
92,-2.8125,-5.937182,-38.236523,95
93,-4.921875,-5.295093,-38.609741,96
94,-1.757812,-5.185229,-42.037159,104
95,-5.976562,-4.748218,-40.808815,102
96,-6.328125,-5.486743,-39.967434,99
97,-8.4375,-5.508716,-37.038651,92
98,-6.328125,-5.368335,-36.078861,90
99,-8.789062,-5.6552,-32.945,82
100,-4.921875,-5.570971,-33.594097,83
101,-4.21875,-5.81145,-35.186798,87
102,-9.492188,-5.623462,-31.318073,78
103,-8.4375,-5.616138,-28.496712,71
104,-6.679688,-5.32561,-27.142635,67
105,-7.734375,-5.580737,-24.988998,62
106,-8.085938,-5.301196,-22.204258,55
107,-8.4375,-5.126636,-18.893394,47
108,-5.976562,-5.414721,-18.331554,45
109,-5.625,-5.22185,-17.928406,44
110,-5.273438,-5.380542,-18.035511,45
111,-3.867188,-4.583423,-18.751747,46
112,-3.515625,-4.904468,-20.140591,50
113,-4.921875,-5.323169,-20.541885,51
114,-2.109375,-5.390307,-23.822819,59
115,-2.109375,-5.044848,-26.758293,66
116,-1.757812,-6.076343,-31.076824,77
117,-6.679688,-5.15227,-29.549408,73
118,-3.164062,-5.363452,-31.748798,79
119,-4.21875,-5.640552,-33.170601,82
120,-5.625,-5.476977,-33.022579,82
121,-4.21875,-5.502612,-34.306442,85
122,-4.921875,-5.557544,-34.942112,87
123,-3.515625,-5.315845,-36.742332,91
124,-4.570312,-5.15227,-37.324291,93
125,-6.328125,-5.048511,-36.044678,90
126,-5.625,-5.268237,-35.687916,89
127,-5.625,-4.746997,-34.809914,87
128,-4.921875,-4.642016,-34.530056,86
129,-6.679688,-4.626147,-32.476517,81
130,-6.328125,-4.418628,-30.56702,76
131,-6.679688,-4.07561,-27.962944,70
132,-5.273438,-3.861987,-26.551495,66
133,-6.328125,-4.021899,-24.24527,60
134,-6.328125,-3.730151,-21.647297,54
135,-5.976562,-3.789966,-19.460701,48
136,-5.273438,-3.868091,-18.055355,45
137,-5.273438,-3.821704,-16.603622,41
138,-5.625,-3.437183,-14.415806,36
139,-9.140625,-3.338306,-8.613487,21
140,-5.976562,-3.88396,-6.520885,16
141,-4.21875,-3.67644,-5.978575,14
142,-2.460938,-3.171069,-6.688706,16
143,-3.164062,-3.887622,-7.412266,18
144,-0.703125,-4.239184,-10.948325,27
145,-7.03125,-3.783862,-7.700937,19
146,-2.460938,-4.037768,-9.277768,23
147,-0.351562,-4.219653,-13.145859,32
148,0.351562,-4.068286,-17.565708,43
149,-0.703125,-4.367358,-21.229942,52
150,1.054688,-4.403979,-26.68861,66
151,1.40625,-4.545581,-32.640442,81
152,-1.40625,-4.1281,-35.362293,88
153,-3.515625,-4.270923,-36.117592,90
154,-3.515625,-4.418628,-37.020596,92
155,-3.515625,-3.997485,-37.502457,93
156,-5.976562,-4.854419,-36.380314,91
157,-5.976562,-4.392993,-34.796745,87
158,-4.921875,-3.947437,-33.822308,84
159,-7.03125,-3.896167,-30.687225,76
160,-2.460938,-3.352954,-31.579243,78
161,-8.085938,-3.739917,-27.233223,68
162,-6.679688,-4.295337,-24.848873,62
163,-5.273438,-4.076831,-23.652267,59
164,-5.625,-3.818042,-21.84531,54
165,-7.03125,-3.71062,-18.524681,46
166,-5.976562,-3.719165,-16.267284,40
167,-4.921875,-3.265064,-14.610474,36
168,-4.921875,-3.711841,-13.40044,33
169,-4.570312,-3.912036,-12.742165,31
170,-3.164062,-4.001147,-13.57925,33
171,-2.460938,-3.874194,-14.992508,37
172,-3.515625,-3.786304,-15.263187,38
173,-2.460938,-3.791187,-16.593437,41
174,-1.757812,-3.887622,-18.723248,46
175,-2.8125,-3.785083,-19.695831,49
176,-2.8125,-3.796069,-20.679401,51
177,-0.703125,-3.827808,-23.804085,59
178,-1.757812,-3.875415,-25.921688,64
179,-3.164062,-3.916919,-26.674545,66
180,-5.625,-4.002368,-25.051914,62
181,-2.460938,-4.015796,-26.606773,66
